Code, Degree Type, Program Name
0102, B, CIENCIAS AGRICOLAS
0103, B, CIENCIAS AGRICOLAS EN AGRONOMIA
0104, B, CIENCIAS AGRICOLAS EN ECONOMIA AGRICOLA
0105, B, CIENCIAS AGRICOLAS EN EDUCACION AGRICOLA
0106, B, CIENCIAS AGRICOLAS EN EXTENSION AGRICOLA
0107, B, CIENCIAS AGRICOLAS EN HORTICULTURA
0108, B, CIENCIAS AGRICOLAS EN CIENCIA ANIMAL/INDUSTRIA PECUARIAS
0109, B, CIENCIAS AGRICOLAS EN SISTEMAS AGRICOLAS Y AMBIENTALES/TECNOLOGIA MECANICO AGRICOLA
0112, B, CIENCIAS AGRICOLAS EN PROTECCION DE CULTIVOS
0113, B, CIENCIAS AGRICOLAS EN AGRONEGOCIOS
0114, B, CIENCIAS AGRICOLAS EN SUELOS
0117, B, CIENCIAS EN CIENCIA DE ALIMENTOS
0302, B, CIENCIAS EN ADMINISTRACIÓN DE EMPRESAS EN CONTABILIDAD
0304, B, CIENCIAS EN ADMINISTRACIÓN DE EMPRESAS EN FINANZAS
0308, B, CIENCIAS EN ADMINISTRACIÓN DE EMPRESAS EN SISTEMAS COMPUTADORIZADOS DE INFORMACIÓN
0309, B, CIENCIAS EN ADMINISTRACION DE EMPRESAS EN GERENCIA DE OPERACIONES/GERENCIA INDUSTRIAL
0311, B, CIENCIAS EN ADMINISTRACIÓN DE EMPRESAS EN MERCADEO
0313, B, CIENCIAS EN ADMINISTRACIÓN DE EMPRESAS EN GERENCIA DE RECURSOS HUMANOS/ESTUDIOS ORGANIZACIONALES
0319, B, ADMINISTRACIÓN DE OFICINAS
0501, B, CIENCIAS EN INGENIERIA CIVIL
0502, B, CIENCIAS EN INGENIERIA ELECTRICA
0503, B, CIENCIAS EN INGENIERIA INDUSTRIAL
0504, B, CIENCIAS EN INGENIERIA MECANICA
0505, B, CIENCIAS EN INGENIERIA QUIMICA
0506, B, CIENCIAS EN AGRIMENSURA Y TOPOGRAFIA
0507, B, CIENCIAS EN INGENIERIA DE COMPUTADORAS
0508, B, CIENCIAS EN CIENCIAS E INGENIERIA DE COMPUTACION
0509, B, CIENCIAS EN INGENIERIA DE SOFTWARE
0703, B, CIENCIAS EN ENFERMERIA
0901, B, ARTES EN LITERATURA COMPARADA
0904, B, ARTES EN ARTES PLASTICAS
0905, B, ARTES EN TEORIA DEL ARTE
0906, B, ARTES EN HISTORIA
0907, B, ARTES EN INGLES
0908, B, ARTES EN FILOSOFIA
0909, B, ARTES EN ESTUDIOS HISPANICOS
0912, B, ARTES EN LENGUA Y LITERATURA FRANCESA
1202, B, CIENCIAS EN BIOLOGIA
1203, B, CIENCIAS EN PRE-MEDICA
1204, B, CIENCIAS EN QUIMICA
1205, B, CIENCIAS EN MATEMATICAS
1207, B, CIENCIAS EN CIENCIAS FISICAS
1208, B, CIENCIAS EN FISICA
1209, B, CIENCIAS EN GEOLOGIA
1219, B, CIENCIAS EN MICROBIOLOGIA INDUSTRIAL
1220, B, CIENCIAS EN CIENCIAS DE LA COMPUTACION
1222, B, CIENCIAS EN EDUCACION MATEMATICA
1223, B, CIENCIAS EN BIOTECNOLOGIA INDUSTRIAL
1302, B, ARTES EN EDUCACION FISICA (ADIESTRAMIENTO Y ARBITRAJE)
1303, B, ARTES EN EDUCACIÓN FÍSICA (ENSEÑANZA)
1602, B, ARTES EN CIENCIAS SOCIALES
1603, B, ARTES EN ECONOMIA
1604, B, ARTES EN CIENCIAS POLITICAS
1605, B, ARTES EN PSICOLOGIA
1606, B, ARTES EN SOCIOLOGIA
